Player,Team,Matches,Innings,Runs,Balls_Faced,Wickets,Overs,Runs_Given,Role
Virat Kohli,RCB,223,215,7263,5440,4,12,96,Batsman
Rohit Sharma,MI,243,236,6211,4760,15,42,310,Batsman
MS Dhoni,CSK,250,218,5082,3685,0,0,0,Wicketkeeper
David Warner,SRH,176,176,6397,4703,0,0,0,Batsman
AB de Villiers,RCB,184,170,5162,3405,0,0,0,Batsman
Suresh Raina,CSK,205,200,5528,3950,25,60,430,Allrounder
KL Rahul,PBKS,118,110,4163,2988,0,0,0,Batsman
Shikhar Dhawan,DC,217,213,6617,5033,4,13,95,Batsman
Andre Russell,KKR,112,96,2262,1335,90,240,1600,Allrounder
Hardik Pandya,GT,125,110,2309,1450,50,180,1050,Allrounder
Rashid Khan,GT,109,40,543,320,139,420,2300,Bowler
Bhuvneshwar Kumar,SRH,160,20,196,150,170,520,2750,Bowler
Jasprit Bumrah,MI,120,10,92,80,145,450,2600,Bowler
Yuzvendra Chahal,RR,145,15,70,54,187,540,2900,Bowler
Kieron Pollard,MI,189,171,3412,2220,69,200,1200,Allrounder
Glenn Maxwell,RCB,124,115,2716,1700,33,110,680,Allrounder
Ben Stokes,RR,45,40,920,680,28,75,470,Allrounder
Ruturaj Gaikwad,CSK,52,50,1797,1320,0,0,0,Batsman
Faf du Plessis,RCB,141,139,4133,3050,0,0,0,Batsman
Sanju Samson,RR,152,147,3888,2890,0,0,0,Batsman
