Order ID,Customer ID,Product Category,Sales Amount,Quantity,Discount,Profit,Order Date,Region
1,1102,Clothing,388.16,1,0.08,440.56,2021-01-01,West
2,1435,Furniture,547.24,6,0.13,173.12,2021-01-02,Central
3,1860,Furniture,737.26,8,0.09,-89.43,2021-01-03,Central
4,1270,Clothing,564.9,3,0.14,287.13,2021-01-04,East
5,1106,Furniture,990.79,8,0.03,355.28,2021-01-05,South
6,1071,Furniture,745.39,1,0.21,21.73,2021-01-06,East
7,1700,Furniture,897.09,9,0.03,400.03,2021-01-07,Central
8,1020,Electronics,1118.39,9,0.32,434.3,2021-01-08,East
9,1614,Electronics,858.73,5,0.09,-6.17,2021-01-09,Central
10,1121,Electronics,900.48,4,0.22,488.47,2021-01-10,East
11,1466,Clothing,868.46,6,0.35,-101.5,2021-01-11,West
12,1214,Home Decor,599.22,7,0.26,-58.59,2021-01-12,East
13,1330,Furniture,539.3,5,0.21,-71.04,2021-01-13,West
14,1458,Furniture,1354.49,9,0.13,425.79,2021-01-14,West
15,1087,Clothing,930.96,3,0.13,258.0,2021-01-15,South
16,1372,Furniture,404.31,7,0.27,-93.53,2021-01-16,West
17,1099,Electronics,772.46,5,0.4,108.23,2021-01-17,West
18,1871,Home Decor,529.01,7,0.26,230.71,2021-01-18,East
19,1663,Grocery,1403.85,2,0.22,-141.58,2021-01-19,Central
20,1130,Furniture,60.92,4,0.29,417.69,2021-01-20,South
21,1661,Electronics,376.73,2,0.19,362.52,2021-01-21,West
22,1308,Grocery,579.77,7,0.02,153.64,2021-01-22,South
23,1769,Home Decor,757.32,2,0.22,476.99,2021-01-23,East
24,1343,Grocery,1283.69,1,0.38,92.43,2021-01-24,West
25,1491,Electronics,177.44,9,0.07,488.88,2021-01-25,East
26,1413,Grocery,1218.5,1,0.28,267.54,2021-01-26,South
27,1805,Clothing,130.7,8,0.08,244.27,2021-01-27,East
28,1385,Grocery,1271.36,2,0.21,-83.83,2021-01-28,South
29,1191,Furniture,124.87,8,0.04,417.35,2021-01-29,East
30,1955,Furniture,76.45,3,0.18,99.24,2021-01-30,South
31,1276,Clothing,1060.59,6,0.3,-86.44,2021-01-31,Central
32,1160,Electronics,1496.02,3,0.14,-191.17,2021-02-01,East
33,1459,Furniture,1350.08,7,0.27,191.83,2021-02-02,East
34,1313,Home Decor,885.2,9,0.32,169.18,2021-02-03,Central
35,1021,Furniture,1380.22,2,0.37,303.55,2021-02-04,Central
36,1252,Furniture,57.69,5,0.09,423.18,2021-02-05,East
37,1747,Electronics,1463.85,6,0.16,-144.42,2021-02-06,Central
38,1856,Grocery,761.59,4,0.06,312.05,2021-02-07,West
39,1560,Furniture,1098.2,4,0.4,-68.81,2021-02-08,South
40,1474,Clothing,1240.25,4,0.37,400.72,2021-02-09,South
41,1058,Grocery,1091.76,2,0.22,373.34,2021-02-10,South
42,1510,Home Decor,825.8,4,0.34,178.56,2021-02-11,West
43,1681,Electronics,741.1,1,0.21,297.17,2021-02-12,Central
44,1475,Home Decor,1265.94,6,0.25,20.05,2021-02-13,Central
45,1699,Grocery,347.36,1,0.04,129.82,2021-02-14,East
46,1975,Grocery,1453.59,6,0.3,375.15,2021-02-15,Central
47,1782,Grocery,1080.88,1,0.05,121.49,2021-02-16,East
48,1189,Home Decor,339.29,6,0.33,50.46,2021-02-17,West
49,1957,Grocery,1117.56,8,0.31,145.95,2021-02-18,South
50,1686,Home Decor,818.27,2,0.28,379.77,2021-02-19,South
51,1957,Grocery,1075.48,2,0.01,34.65,2021-02-20,South
52,1562,Clothing,1163.28,4,0.12,-78.37,2021-02-21,Central
53,1875,Grocery,176.57,3,0.11,298.41,2021-02-22,East
54,1566,Home Decor,783.85,4,0.14,378.18,2021-02-23,East
55,1243,Furniture,1401.42,7,0.04,-129.55,2021-02-24,West
56,1831,Grocery,514.93,1,0.37,-32.09,2021-02-25,Central
57,1504,Furniture,911.13,6,0.22,-100.62,2021-02-26,West
58,1130,Clothing,585.38,3,0.12,43.56,2021-02-27,East
59,1484,Electronics,708.69,7,0.16,115.25,2021-02-28,East
60,1818,Clothing,845.47,2,0.18,324.18,2021-03-01,South
61,1646,Grocery,845.94,2,0.24,255.8,2021-03-02,Central
62,1020,Furniture,342.51,4,0.21,234.65,2021-03-03,East
63,1840,Furniture,1042.63,1,0.37,46.66,2021-03-04,South
64,1166,Home Decor,177.41,3,0.2,389.01,2021-03-05,Central
65,1273,Furniture,251.3,9,0.4,129.9,2021-03-06,West
66,1387,Home Decor,53.93,7,0.34,485.37,2021-03-07,Central
67,1600,Electronics,219.21,7,0.08,243.9,2021-03-08,Central
68,1315,Grocery,736.09,4,0.37,-111.61,2021-03-09,East
69,1013,Home Decor,928.85,2,0.05,273.32,2021-03-10,East
70,1241,Electronics,1201.72,4,0.33,27.57,2021-03-11,Central
71,1776,Furniture,204.71,6,0.15,280.43,2021-03-12,East
72,1345,Furniture,1283.55,3,0.35,-151.25,2021-03-13,East
73,1564,Electronics,1131.66,1,0.35,-77.58,2021-03-14,East
74,1897,Furniture,642.35,8,0.32,399.02,2021-03-15,South
75,1339,Electronics,1402.76,5,0.32,-40.97,2021-03-16,South
76,1091,Home Decor,1486.85,5,0.12,385.93,2021-03-17,Central
77,1366,Home Decor,347.25,4,0.03,-4.51,2021-03-18,East
78,1955,Electronics,599.88,6,0.16,250.02,2021-03-19,South
79,1454,Home Decor,1393.35,3,0.07,285.91,2021-03-20,Central
80,1427,Home Decor,1096.31,9,0.28,158.86,2021-03-21,East
81,1508,Home Decor,119.74,5,0.14,13.72,2021-03-22,West
82,1775,Clothing,1183.2,3,0.39,-51.15,2021-03-23,East
83,1942,Grocery,1250.51,1,0.26,-176.77,2021-03-24,East
