customer_id,age,gender,city,annual_income,spending_score,membership_years,total_orders,avg_order_value,last_purchase_days,preferred_category,churn
1,56,Female,Mumbai,93805,27,9,20,2040,363,Home,0
2,46,Male,Hyderabad,88367,74,4,22,1050,109,Beauty,0
3,32,Male,Bangalore,129906,63,2,47,2171,309,Sports,1
4,60,Female,Chennai,137409,68,4,23,1391,52,Electronics,0
5,25,Female,Hyderabad,97355,19,6,41,4120,1,Home,0
6,38,Female,Hyderabad,136220,28,6,35,4828,11,Electronics,0
7,56,Male,Bangalore,110349,85,5,3,2262,314,Beauty,1
8,36,Female,Mumbai,107173,78,1,34,3246,235,Electronics,0
9,40,Male,Hyderabad,21996,33,3,33,4599,128,Home,0
10,28,Female,Chennai,139999,10,5,46,3758,214,Fashion,0
11,28,Female,Hyderabad,64387,83,6,17,4711,243,Home,1
12,41,Male,Chennai,134965,30,1,45,504,44,Electronics,0
13,53,Male,Delhi,23089,22,9,19,3047,6,Beauty,1
14,57,Female,Delhi,118827,3,3,30,2635,156,Sports,0
15,41,Female,Chennai,40659,82,3,23,3004,8,Sports,0
16,20,Female,Mumbai,65178,75,2,15,2184,5,Beauty,1
17,39,Male,Hyderabad,140053,48,8,14,4136,362,Electronics,1
18,19,Male,Hyderabad,115965,2,3,2,912,182,Beauty,0
19,41,Male,Delhi,101268,76,6,39,3095,112,Electronics,0
20,61,Male,Chennai,105042,54,2,49,1881,273,Home,0
21,47,Male,Hyderabad,126471,6,7,18,1533,265,Fashion,0
22,55,Male,Hyderabad,90726,40,4,6,3398,212,Electronics,0
23,19,Female,Mumbai,90111,93,9,32,374,78,Sports,0
24,38,Female,Bangalore,126031,94,9,21,3405,270,Sports,0
25,50,Male,Delhi,133682,2,7,40,1616,154,Fashion,0
26,29,Female,Delhi,54565,73,8,28,2187,221,Electronics,0
27,39,Female,Bangalore,120435,2,3,27,1972,347,Fashion,0
28,61,Male,Hyderabad,109242,93,5,2,4466,25,Home,0
29,42,Female,Mumbai,133204,97,2,33,1274,354,Fashion,0
30,44,Male,Mumbai,149642,74,7,16,4960,208,Home,0
31,59,Male,Delhi,42884,98,8,39,791,3,Sports,0
32,45,Female,Mumbai,37199,55,9,22,3178,215,Home,0
33,33,Male,Bangalore,80038,72,7,43,4182,112,Electronics,0
34,32,Male,Hyderabad,77786,60,8,47,2610,192,Electronics,0
35,64,Male,Bangalore,129636,97,9,13,1047,47,Electronics,1
36,61,Male,Chennai,124970,6,6,2,693,221,Electronics,0
37,20,Male,Delhi,69294,19,2,14,745,187,Beauty,0
38,54,Male,Mumbai,98015,96,2,38,2486,50,Home,0
39,24,Male,Chennai,54178,27,4,41,2897,197,Electronics,1
40,38,Male,Mumbai,32665,1,9,28,4037,216,Fashion,0
41,26,Female,Hyderabad,149604,33,7,7,1740,221,Fashion,1
42,56,Female,Hyderabad,20534,40,2,18,1083,90,Beauty,0
43,35,Female,Hyderabad,111828,32,8,41,4156,232,Home,1
44,21,Male,Mumbai,56132,69,7,36,3294,323,Home,0
45,42,Male,Chennai,135720,17,9,41,2565,258,Home,0
46,31,Female,Hyderabad,56110,8,8,36,3547,153,Beauty,1
47,26,Female,Chennai,78754,57,3,44,3271,256,Home,0
48,43,Female,Mumbai,83580,42,1,4,3875,258,Home,0
49,19,Male,Chennai,42469,98,2,30,4915,65,Electronics,0
50,37,Female,Mumbai,84016,9,2,24,1152,190,Home,0
51,45,Female,Mumbai,66233,87,4,20,3500,91,Electronics,1
52,64,Male,Delhi,122804,35,6,46,3935,173,Electronics,0
53,24,Female,Mumbai,149863,71,4,31,3379,247,Home,1
54,61,Male,Mumbai,86708,79,9,24,3163,256,Fashion,1
55,25,Male,Bangalore,78232,53,4,7,4227,116,Sports,0
56,64,Male,Hyderabad,113450,54,6,26,3447,49,Fashion,0
57,52,Female,Delhi,106437,84,6,13,4615,227,Home,1
58,31,Female,Delhi,126311,25,1,8,3557,69,Home,0
59,34,Male,Delhi,54409,67,8,5,2904,126,Fashion,1
60,53,Female,Bangalore,135159,62,3,44,1237,213,Home,0
61,57,Female,Mumbai,39324,55,6,13,270,53,Electronics,0
62,21,Female,Hyderabad,28738,46,3,29,3074,112,Beauty,1
63,19,Female,Chennai,123030,24,2,20,305,159,Home,0
64,23,Male,Mumbai,130093,98,5,14,969,240,Home,0
65,59,Female,Bangalore,44054,46,1,32,2209,150,Fashion,0
66,21,Male,Mumbai,49709,22,9,27,3140,139,Electronics,1
67,46,Male,Mumbai,129321,11,7,25,2392,113,Fashion,0
68,35,Female,Bangalore,105643,48,3,4,3695,143,Fashion,0
69,43,Male,Delhi,148805,8,4,21,4511,138,Home,0
70,61,Female,Delhi,20363,39,6,18,4555,304,Electronics,0
71,51,Female,Hyderabad,30358,35,3,39,1133,31,Home,0
72,27,Male,Hyderabad,121613,49,7,15,774,293,Home,0
73,53,Male,Delhi,135233,46,6,38,4130,108,Home,0
74,31,Male,Chennai,23240,38,9,48,4580,284,Home,1
75,48,Male,Mumbai,92201,8,5,24,4287,159,Beauty,0
76,32,Female,Chennai,65689,54,4,8,2731,326,Sports,0
77,25,Female,Mumbai,21936,37,3,28,2619,14,Electronics,1
78,31,Female,Delhi,132272,91,1,21,269,122,Beauty,0
79,40,Male,Hyderabad,111074,92,3,16,4674,215,Sports,1
80,57,Male,Hyderabad,63965,40,3,16,1502,272,Sports,0
81,38,Male,Chennai,97534,34,7,35,4014,25,Sports,0
82,33,Female,Hyderabad,20882,96,7,17,2549,322,Beauty,0
83,62,Male,Delhi,40224,79,1,9,454,294,Electronics,0
84,35,Female,Chennai,125227,17,3,35,1907,169,Fashion,0
85,64,Male,Mumbai,143750,33,8,29,4987,103,Sports,0
86,41,Female,Hyderabad,139299,47,9,39,1033,354,Fashion,0
87,43,Female,Bangalore,145865,52,7,18,2964,40,Fashion,0
88,42,Male,Hyderabad,132012,80,7,12,2671,235,Home,0
89,62,Male,Mumbai,143745,93,8,19,3942,320,Fashion,0
90,58,Female,Chennai,50825,9,6,48,2235,89,Home,0
91,46,Female,Mumbai,90740,33,3,22,2167,100,Electronics,0
92,32,Male,Bangalore,48885,60,1,49,299,144,Electronics,0
93,62,Male,Delhi,60056,93,7,15,2052,82,Home,0
94,18,Female,Hyderabad,23203,77,1,1,3383,77,Electronics,0
95,42,Male,Chennai,80241,21,1,2,2555,59,Sports,0
96,24,Female,Delhi,22244,58,9,8,311,229,Electronics,0
97,26,Female,Mumbai,118322,85,7,22,3358,91,Home,1
98,41,Male,Chennai,135329,69,4,25,382,354,Sports,0
99,18,Male,Delhi,88619,10,6,2,4052,1,Fashion,0
100,61,Male,Chennai,41584,6,1,9,364,269,Fashion,1
101,25,Male,Bangalore,28521,13,7,9,2337,286,Fashion,0
102,41,Male,Bangalore,70017,65,6,13,2223,197,Home,0
103,28,Female,Hyderabad,53541,20,4,6,654,274,Fashion,0
104,34,Female,Hyderabad,49063,57,7,30,2485,78,Electronics,0
105,25,Male,Bangalore,90268,46,3,15,741,141,Fashion,0
106,52,Male,Chennai,145234,8,1,15,2865,288,Beauty,0
107,52,Male,Bangalore,146218,10,4,7,2649,71,Beauty,0
108,50,Female,Hyderabad,138206,73,3,11,4133,50,Fashion,0
109,22,Male,Bangalore,84952,67,1,40,3086,80,Fashion,0
110,59,Male,Bangalore,113054,11,2,38,4814,235,Beauty,0
111,56,Female,Chennai,59563,12,5,40,4492,287,Fashion,0
112,58,Female,Delhi,59752,10,8,2,4104,307,Sports,0
113,45,Male,Hyderabad,115233,25,1,48,1888,155,Beauty,0
114,24,Male,Chennai,22567,49,4,39,1837,60,Home,0
115,26,Male,Bangalore,36121,49,4,10,4928,33,Beauty,1
116,25,Female,Bangalore,21674,89,5,44,4870,127,Electronics,0
117,29,Male,Delhi,96411,11,7,17,4282,221,Sports,0
118,51,Male,Hyderabad,129876,62,8,7,2090,200,Home,0
119,50,Male,Hyderabad,86275,36,6,40,3405,126,Fashion,0
120,40,Female,Mumbai,87081,39,1,39,677,41,Electronics,0
121,41,Female,Hyderabad,49140,53,7,4,2566,275,Electronics,1
122,54,Male,Delhi,145139,90,3,35,2726,297,Sports,0
123,52,Male,Mumbai,29327,78,6,47,566,85,Home,1
124,61,Female,Mumbai,90663,56,8,36,2036,89,Electronics,0
125,57,Female,Bangalore,43331,1,7,31,1915,42,Home,1
126,39,Female,Bangalore,43004,56,6,25,212,120,Home,0
127,44,Female,Hyderabad,127369,4,9,41,735,279,Electronics,0
128,52,Female,Mumbai,139243,30,9,13,3439,33,Home,1
129,18,Female,Bangalore,30492,12,1,18,2517,276,Sports,0
130,52,Female,Delhi,74797,35,1,21,4242,153,Electronics,1
131,54,Female,Bangalore,78095,77,1,48,575,90,Sports,0
132,64,Female,Bangalore,33749,52,8,1,1924,104,Sports,0
133,31,Male,Mumbai,83217,31,7,36,456,12,Home,0
134,20,Male,Mumbai,109044,87,3,8,2464,160,Home,0
135,18,Male,Chennai,29045,68,2,48,649,196,Electronics,0
136,22,Female,Delhi,40116,52,4,21,1093,307,Fashion,0
137,43,Male,Mumbai,38667,80,3,43,3412,262,Electronics,0
138,31,Female,Hyderabad,95057,7,7,21,1384,91,Sports,0
139,56,Female,Delhi,94205,22,8,27,3423,197,Home,0
140,44,Male,Delhi,47302,93,6,19,1508,69,Sports,0
141,26,Female,Mumbai,31283,75,3,23,4905,220,Beauty,0
142,32,Male,Delhi,50935,56,6,43,1116,214,Beauty,0
143,32,Male,Mumbai,92534,97,2,35,347,146,Sports,0
144,43,Male,Bangalore,114342,58,7,40,4951,233,Fashion,1
145,59,Female,Chennai,51624,93,7,42,2314,234,Fashion,0
146,30,Male,Bangalore,33440,64,4,48,4216,214,Electronics,0
147,49,Female,Mumbai,131001,12,8,5,4140,61,Electronics,0
148,56,Male,Mumbai,66501,7,4,41,4271,363,Electronics,1
149,49,Male,Bangalore,107333,55,7,8,2995,78,Home,0
150,21,Male,Hyderabad,21269,62,4,11,642,95,Fashion,0
151,47,Female,Hyderabad,27868,90,5,16,3144,330,Sports,0
152,54,Female,Hyderabad,50251,73,7,39,4136,216,Beauty,0
153,40,Female,Mumbai,97909,98,3,47,598,213,Fashion,1
154,56,Male,Delhi,104523,77,5,24,1351,304,Fashion,1
155,62,Male,Mumbai,58729,55,3,21,3992,200,Fashion,1
156,32,Female,Delhi,35734,36,5,23,3195,352,Electronics,0
157,60,Female,Bangalore,62429,89,3,49,2416,31,Home,0
158,46,Female,Chennai,61337,24,7,38,1907,290,Sports,1
159,53,Female,Delhi,60325,44,1,47,3531,343,Electronics,0
160,30,Female,Hyderabad,103600,17,9,8,2187,135,Home,0
161,49,Female,Mumbai,82514,2,9,7,4802,83,Fashion,0
162,24,Male,Bangalore,28433,13,5,2,2768,47,Home,0
163,39,Female,Hyderabad,133957,31,9,30,360,206,Electronics,0
164,45,Male,Bangalore,29111,93,6,13,4635,77,Fashion,1
165,19,Male,Chennai,123986,28,5,23,4104,259,Electronics,0
166,59,Female,Mumbai,83753,60,3,29,3773,92,Sports,0
167,62,Female,Mumbai,133783,27,8,38,3377,100,Fashion,0
168,23,Male,Chennai,100583,15,4,37,2025,195,Home,0
169,45,Female,Mumbai,93620,95,3,20,4124,192,Electronics,0
170,45,Female,Delhi,41751,79,6,33,1823,68,Beauty,0
171,61,Male,Bangalore,36453,33,8,29,1376,242,Home,0
172,61,Male,Hyderabad,105844,20,9,15,3920,90,Home,1
173,37,Male,Chennai,58968,42,6,23,3420,345,Fashion,0
174,47,Female,Delhi,50077,12,5,42,3459,10,Home,1
175,28,Male,Hyderabad,128582,73,2,3,330,264,Electronics,0
176,45,Female,Hyderabad,54775,23,2,37,3762,268,Beauty,0
177,42,Male,Chennai,78144,72,9,29,1699,320,Sports,0
178,56,Male,Delhi,68570,96,2,45,2988,118,Beauty,0
179,50,Male,Hyderabad,66097,14,2,8,3908,250,Electronics,0
180,18,Female,Hyderabad,44503,91,3,22,1907,59,Fashion,0
181,44,Female,Delhi,22779,25,3,29,1969,195,Electronics,0
182,30,Male,Mumbai,106840,77,4,2,1518,50,Home,0
183,58,Male,Hyderabad,20755,85,7,41,3579,296,Fashion,0
184,20,Male,Bangalore,59263,31,9,49,2973,97,Sports,0
185,56,Female,Delhi,128491,54,2,45,3190,127,Sports,0
186,23,Male,Hyderabad,75087,5,4,1,3244,246,Electronics,0
187,25,Female,Chennai,62281,13,9,44,575,87,Home,0
188,44,Male,Bangalore,71482,28,2,20,3236,77,Sports,0
189,26,Male,Hyderabad,74857,43,1,21,860,204,Beauty,0
190,54,Male,Bangalore,142989,89,8,37,1603,146,Fashion,0
191,50,Male,Bangalore,37400,99,9,8,940,149,Beauty,0
192,59,Male,Mumbai,60115,47,7,27,503,111,Sports,1
193,61,Male,Bangalore,34249,71,8,47,1285,129,Sports,0
194,41,Female,Mumbai,133183,38,4,35,3379,253,Electronics,1
195,32,Male,Delhi,66825,96,4,6,1410,166,Electronics,0
196,49,Female,Mumbai,130361,67,2,45,3234,297,Fashion,1
197,49,Male,Chennai,44600,62,8,44,428,137,Electronics,0
198,41,Male,Hyderabad,57706,39,2,19,3319,279,Home,1
199,58,Female,Delhi,39222,37,9,18,2054,334,Fashion,0
200,29,Male,Delhi,119041,86,4,1,467,11,Home,0
201,56,Female,Chennai,124504,8,1,25,2974,71,Electronics,0
202,19,Female,Mumbai,61139,81,4,27,3049,159,Fashion,0
203,20,Male,Hyderabad,134919,52,3,7,4549,216,Sports,1
204,54,Female,Mumbai,136605,91,6,44,2334,26,Beauty,0
205,34,Female,Bangalore,61302,33,7,42,3659,286,Sports,1
