customer_id,age,annual_income,credit_score,loan_amount,loan_term_years,debt_to_income_ratio,late_payments,employment_type,education,loan_purpose,default
1,59,149936,528,462141,15,0.12,6,Salaried,High School,Personal,0
2,49,166664,525,75825,1,0.28,2,Self-Employed,Postgraduate,Personal,0
3,35,173245,734,56574,15,0.3,3,Business,Graduate,Education,0
4,63,184276,701,352692,10,0.74,7,Salaried,High School,Personal,0
5,28,186668,387,417028,3,0.55,3,Business,Graduate,Personal,0
6,41,185396,841,237409,3,0.16,8,Business,High School,Business,0
7,59,142258,608,191381,10,0.19,3,Unemployed,Postgraduate,Business,0
8,39,131668,642,69230,1,0.21,3,Business,Graduate,Car,0
9,43,144184,735,439844,3,0.54,4,Self-Employed,High School,Home,0
10,31,181822,476,259451,20,0.61,0,Self-Employed,High School,Home,0
11,31,36566,438,307725,20,0.7,6,Salaried,Postgraduate,Personal,0
12,44,158262,493,252174,20,0.76,8,Business,Postgraduate,Car,0
13,56,58333,485,444844,5,0.24,8,Self-Employed,High School,Car,0
14,60,141929,517,224700,5,0.32,0,Self-Employed,High School,Business,0
15,44,109571,463,292249,1,0.27,5,Self-Employed,PhD,Car,0
16,23,140263,460,346974,10,0.35,2,Salaried,PhD,Education,0
17,42,152661,824,336301,15,0.74,3,Self-Employed,Graduate,Personal,0
18,22,45235,341,430658,1,0.5,7,Business,Graduate,Education,0
19,44,20159,509,354379,15,0.62,3,Self-Employed,PhD,Home,0
20,64,163217,574,251514,1,0.44,7,Self-Employed,High School,Business,0
21,50,182993,578,269491,5,0.12,3,Salaried,Postgraduate,Education,0
22,58,124859,550,231094,20,0.14,8,Business,Graduate,Personal,1
23,22,167309,609,314794,10,0.48,5,Self-Employed,High School,Education,1
24,41,127507,439,153182,5,0.6,0,Business,Postgraduate,Education,0
25,53,159316,845,198242,10,0.25,9,Business,Postgraduate,Car,1
26,32,34743,829,403139,15,0.61,1,Self-Employed,High School,Business,0
27,42,66101,356,187873,1,0.67,6,Salaried,High School,Home,1
28,64,141534,411,460987,3,0.39,9,Business,Graduate,Personal,0
29,45,104227,304,129926,3,0.62,6,Unemployed,PhD,Personal,0
30,47,91126,709,86147,10,0.38,2,Self-Employed,High School,Home,0
31,62,76071,713,315279,20,0.57,0,Business,PhD,Personal,0
32,48,94763,481,24199,20,0.63,7,Business,Graduate,Car,0
33,36,163309,312,407282,10,0.79,9,Business,PhD,Education,0
34,35,166721,638,368727,5,0.34,9,Self-Employed,PhD,Car,0
35,64,188785,558,188208,3,0.39,6,Unemployed,Postgraduate,Car,0
36,23,196481,389,359434,5,0.22,9,Business,Graduate,Car,1
37,57,199838,549,434791,15,0.24,7,Business,High School,Home,0
38,27,66154,554,225868,3,0.59,0,Salaried,PhD,Business,0
39,41,27016,407,125787,15,0.74,2,Self-Employed,Graduate,Home,0
40,29,199760,784,444949,1,0.38,1,Self-Employed,Postgraduate,Home,0
41,59,109678,557,119427,5,0.23,0,Business,Postgraduate,Car,0
42,38,132056,581,153063,10,0.3,4,Salaried,PhD,Business,0
43,24,74238,387,158625,3,0.42,2,Business,PhD,Home,1
44,45,78608,503,225782,5,0.3,9,Business,High School,Business,0
45,34,109081,315,92493,10,0.26,7,Self-Employed,Graduate,Car,0
46,29,182969,450,398850,1,0.62,5,Salaried,High School,Home,0
47,46,70961,553,493633,3,0.11,9,Business,High School,Business,0
48,22,195829,487,279915,15,0.48,8,Self-Employed,Postgraduate,Personal,0
49,40,46917,628,130607,1,0.66,8,Business,Graduate,Home,0
50,48,173808,843,251834,20,0.29,5,Business,High School,Home,0
51,27,47990,696,416514,10,0.52,1,Salaried,Postgraduate,Home,0
52,64,82551,816,84876,3,0.57,8,Salaried,PhD,Business,0
53,28,173512,758,497108,3,0.56,1,Salaried,High School,Education,1
54,55,186277,629,172071,1,0.41,2,Business,PhD,Home,0
55,34,100811,468,207959,3,0.34,5,Unemployed,Graduate,Personal,0
56,37,75103,665,326792,10,0.69,1,Salaried,High School,Personal,0
57,56,192699,477,460884,1,0.63,4,Unemployed,PhD,Car,1
58,60,126122,661,467590,15,0.32,1,Unemployed,PhD,Education,0
59,24,39008,339,465725,1,0.17,3,Unemployed,Graduate,Education,1
60,22,52402,715,248722,1,0.15,2,Self-Employed,Postgraduate,Business,0
61,26,156865,654,342927,15,0.17,4,Business,Postgraduate,Car,0
62,62,156643,554,49440,20,0.51,5,Salaried,High School,Business,0
63,24,167281,442,36655,10,0.14,6,Business,PhD,Car,0
64,49,133550,310,48039,20,0.34,9,Business,Postgraduate,Education,0
65,38,194220,325,322399,20,0.63,7,Self-Employed,High School,Business,0
66,46,111218,720,77219,20,0.31,8,Self-Employed,PhD,Car,0
67,64,153296,520,191061,5,0.63,3,Self-Employed,High School,Education,0
68,54,199767,795,278388,20,0.62,3,Business,Graduate,Education,0
69,30,140779,536,99594,5,0.27,6,Unemployed,High School,Home,0
70,56,149714,536,325739,15,0.61,9,Business,Graduate,Business,0
71,34,52441,518,175623,10,0.62,9,Self-Employed,PhD,Home,0
72,51,190201,786,199302,20,0.38,8,Business,PhD,Education,0
73,35,82368,760,371042,3,0.25,1,Self-Employed,PhD,Business,0
74,28,112122,443,295515,15,0.46,5,Self-Employed,High School,Business,0
75,34,64760,488,467574,5,0.74,9,Salaried,PhD,Personal,0
76,43,43478,554,164950,10,0.55,9,Unemployed,PhD,Car,0
77,60,147881,367,172229,1,0.22,7,Self-Employed,Graduate,Personal,1
78,41,91854,635,10914,10,0.58,4,Salaried,PhD,Personal,0
79,36,114230,708,219772,10,0.4,4,Unemployed,PhD,Education,0
80,38,105716,599,294324,20,0.51,7,Self-Employed,PhD,Car,0
81,44,163252,656,401904,20,0.61,0,Unemployed,Postgraduate,Personal,0
82,46,118538,555,347363,5,0.46,5,Unemployed,PhD,Personal,0
83,45,35372,652,345760,5,0.67,9,Business,High School,Business,0
84,61,49796,820,232561,20,0.61,8,Salaried,Graduate,Education,0
85,49,118826,823,408132,20,0.53,5,Unemployed,PhD,Personal,0
86,35,140592,583,192435,3,0.21,6,Business,High School,Car,0
87,21,113635,611,100213,3,0.69,3,Unemployed,Graduate,Home,0
88,45,131022,398,425576,15,0.76,9,Business,Graduate,Home,0
89,27,74040,496,42805,20,0.2,0,Self-Employed,High School,Education,0
90,29,95357,781,411669,1,0.44,8,Self-Employed,High School,Home,0
91,44,98356,525,131599,3,0.28,5,Business,Postgraduate,Business,0
92,21,36211,664,158775,5,0.63,2,Self-Employed,Postgraduate,Business,0
93,64,125426,667,195093,10,0.61,3,Self-Employed,PhD,Car,0
94,28,25842,374,79176,15,0.2,9,Self-Employed,Postgraduate,Education,0
95,44,86852,341,99799,3,0.71,5,Unemployed,High School,Education,0
96,31,145737,721,103385,10,0.23,5,Business,Postgraduate,Home,0
97,37,65968,480,240654,10,0.66,8,Salaried,Graduate,Personal,0
98,28,37508,844,479830,3,0.42,3,Salaried,High School,Personal,1
99,55,173077,370,93919,1,0.33,4,Business,PhD,Personal,0
100,55,74575,404,479288,1,0.21,4,Unemployed,Graduate,Car,0
101,53,170043,499,405626,15,0.22,2,Self-Employed,Graduate,Education,0
102,25,176671,400,86462,1,0.56,1,Self-Employed,Graduate,Home,0
103,62,86914,606,184340,15,0.49,7,Unemployed,High School,Car,0
104,59,87055,676,170320,5,0.19,9,Salaried,High School,Business,1
105,61,107697,698,36159,3,0.18,8,Business,PhD,Business,0
106,48,126239,520,47039,10,0.15,9,Business,Postgraduate,Business,0
107,27,143106,481,237974,15,0.62,8,Unemployed,Postgraduate,Education,0
108,29,25355,606,52800,1,0.6,4,Self-Employed,Postgraduate,Business,0
109,28,74120,821,307905,15,0.14,8,Self-Employed,Postgraduate,Personal,1
110,32,58342,695,99626,20,0.49,3,Self-Employed,Graduate,Business,0
111,54,22257,303,484319,15,0.16,1,Business,High School,Car,0
112,53,47364,580,123368,1,0.73,2,Salaried,Postgraduate,Business,1
113,43,176044,514,179735,20,0.73,0,Business,Graduate,Personal,0
114,44,131715,719,85903,20,0.59,4,Unemployed,High School,Business,0
115,57,46654,400,438628,1,0.75,0,Business,High School,Home,1
116,55,101423,820,123998,20,0.67,0,Unemployed,High School,Personal,0
117,64,49320,608,246324,3,0.68,6,Business,Graduate,Education,0
118,60,40808,809,433583,10,0.5,1,Salaried,Postgraduate,Business,0
119,42,72389,362,404029,3,0.31,7,Unemployed,High School,Car,0
120,47,138581,525,327038,3,0.25,5,Self-Employed,Graduate,Business,0
