engine_size,horsepower,weight,cylinders,model_year,mpg
2.5,173.0,1758.0,3,2010,37.78
4.8,252.0,3756.0,4,2002,22.6
3.93,216.0,2763.0,8,2000,27.2
3.39,261.0,3566.0,4,2005,29.15
1.62,110.0,2300.0,3,2017,44.12
1.62,81.0,3739.0,4,2023,45.06
1.23,65.0,2473.0,3,2009,44.01
4.46,312.0,1527.0,4,2004,25.59
3.4,171.0,3763.0,3,2022,35.82
3.83,210.0,1728.0,3,2009,31.45
1.08,72.0,2298.0,3,2011,45.24
4.88,345.0,3875.0,8,2001,20.0
4.33,301.0,3877.0,4,2012,26.38
1.85,105.0,2934.0,4,2007,39.67
1.73,123.0,3080.0,4,2001,37.84
1.73,99.0,2621.0,3,2019,44.18
2.22,133.0,2233.0,4,2000,36.23
3.1,224.0,2322.0,4,2004,32.0
2.73,190.0,3181.0,3,2008,34.5
2.16,163.0,3381.0,6,2016,39.52
3.45,241.0,3479.0,3,2008,30.3
1.56,105.0,3474.0,4,2010,41.19
2.17,115.0,1728.0,3,2014,41.49
2.47,151.0,2736.0,6,2023,41.26
2.82,163.0,1644.0,3,2005,35.32
4.14,237.0,2874.0,4,2022,32.43
1.8,143.0,2604.0,6,2002,37.94
3.06,189.0,3719.0,8,2016,35.06
3.37,259.0,2377.0,4,2004,30.16
1.19,82.0,1793.0,6,2011,45.11
3.43,253.0,1857.0,6,2017,34.46
1.68,109.0,3404.0,8,2013,41.6
1.26,85.0,3046.0,3,2020,46.21
4.8,311.0,1753.0,3,2023,29.73
4.86,271.0,1710.0,4,2010,26.43
4.23,303.0,3252.0,8,2008,26.17
2.22,130.0,1682.0,3,2001,37.14
1.39,71.0,3555.0,8,2011,42.76
3.74,259.0,3266.0,3,2002,27.19
2.76,153.0,1703.0,6,2002,34.8
1.49,117.0,1712.0,3,2000,39.99
2.98,234.0,3967.0,8,2007,31.53
1.14,88.0,2436.0,6,2021,47.54
4.64,284.0,2427.0,6,2007,25.43
2.04,103.0,3532.0,6,2010,39.25
3.65,284.0,3868.0,8,2008,28.25
2.25,141.0,3965.0,4,2004,35.42
3.08,243.0,3383.0,4,2013,33.34
3.19,252.0,2441.0,4,2002,30.36
